gen_query,actual_query,gen_output,actual_output,validation,correct_output
"
SELECT DISTINCT coachID
FROM coaches
WHERE lgID = 'NBA'
AND tmID = 'STL';
",SELECT DISTINCT T2.coachID FROM coaches AS T1 INNER JOIN awards_coaches AS T2 ON T1.coachID = T2.coachID WHERE T1.tmID = 'STL' AND T1.lgID = 'NBA',"[('gallaha01',), ('gueriri01',), ('hannual01',), ('holzmre01',), ('levanan01',), ('macaued01',), ('martisl01',), ('pettibo01',), ('phillan01',), ('seymopa01',)]","[('gallaha01',), ('hannual01',), ('gueriri01',), ('holzmre01',)]",yes,0
"SELECT Credit.person
FROM Credit
JOIN Person ON Credit.person = Person.name
WHERE Credit.category = 'crew' AND strftime('%Y', Person.birthdate) = '1962' AND Person.birth_region = 'California';","SELECT name FROM Person WHERE SUBSTR(birthdate, 1, 4) = '1962' AND birth_region = 'California';",[],"[('Jodie Foster',), ('Rob LaZebnik',)]",yes,0
"
SELECT
  COUNT(DISTINCT T1.OrderID)
FROM central_superstore AS T1
JOIN people AS T2
  ON T1.CustomerID = T2.CustomerID
WHERE
  T2.Customer Name = ""Aaron Bergman"" AND T1.Ship Mode = ""Standard Class"";
",SELECT COUNT(*) FROM people AS T1 INNER JOIN central_superstore AS T2 ON T1.`Customer ID` = T2.`Customer ID` WHERE T1.`Customer Name` = 'Aaron Bergman' AND T2.`Ship Mode` = 'Standard Class',,"[(4,)]",no,0
"SELECT PATIENT FROM allergies WHERE STOP IS NOT NULL AND SUBTRACT((SUBSTR(STOP, - 2, 1)! = '9' then substr(STOP, length(STOP) - 1) + 2000 end), (SUBSTR(START, - 2, 1) = '9' then substr(START, length(START) - 1) + 1900 else substr(START, length(START) - 1) + 2000 end)) = (SELECT MAX(SUBTRACT((SUBSTR(STOP, - 2, 1)! = '9' then substr(STOP, length(STOP) - 1) + 2000 end), (SUBSTR(START, - 2, 1) = '9' then substr(START, length(START) - 1) + 1900 else substr(START, length(START) - 1) + 2000 end))) FROM allergies WHERE STOP IS NOT NULL);","SELECT PATIENT FROM allergies WHERE STOP IS NOT NULL GROUP BY PATIENT ORDER BY CASE WHEN SUBSTR(STOP, -2, 1) != '9' THEN SUBSTR(STOP, LENGTH(STOP) - 1) + 2000 END - CASE WHEN SUBSTR(START, -2, 1) = '9' THEN SUBSTR(START, LENGTH(START) - 1) + 1900 ELSE SUBSTR(START, LENGTH(START) - 1) + 2000 END LIMIT 1",,"[('1b0b08fc-7d16-4adc-9331-acca6185a468',)]",no,0
"SELECT DISTINCT student.name, enrolled.school
FROM student
JOIN enrolled ON student.name = enrolled.name
WHERE enrolled.month = 15;","SELECT name, school FROM enrolled WHERE month = 15",,"[('student175', 'uci'), ('student211', 'uci'), ('student214', 'smc'), ('student222', 'smc'), ('student229', 'occ'), ('student401', 'uci'), ('student42', 'smc'), ('student59', 'uci'), ('student599', 'occ'), ('student635', 'smc'), ('student700', 'uci'), ('student727', 'smc'), ('student753', 'occ'), ('student792', 'ucla'), ('student842', 'occ'), ('student894', 'smc')]",yes,0
"SELECT COUNT(S.student_id) - COUNT(S.student_id) OVER (PARTITION BY S.student_id having S.type = 'UG') AS ""Difference"" FROM RA AS S
WHERE S.capability < 3",SELECT SUM(CASE WHEN T2.type = 'UG' THEN 1 ELSE 0 END) - SUM(CASE WHEN T2.type = 'RPG' THEN 1 ELSE 0 END) FROM RA AS T1 INNER JOIN student AS T2 ON T1.student_id = T2.student_id WHERE T1.capability < 3,,"[(0,)]",no,0
"SELECT COUNT(*)
FROM ratings
WHERE movie_id IN (
  SELECT movie_id
  FROM movies
  ORDER BY movie_popularity DESC
  LIMIT 1
);",SELECT COUNT(T1.critic) FROM ratings AS T1 INNER JOIN movies AS T2 ON T1.movie_id = T2.movie_id WHERE T2.movie_popularity = ( SELECT MAX(movie_popularity) FROM movies ),"[(41494,)]","[(545,)]",yes,0
"SELECT DISTINCT
  official_full_name
FROM current
WHERE
  party = 'Independent';",SELECT T1.official_full_name FROM current AS T1 INNER JOIN `current-terms` AS T2 ON T1.bioguide_id = T2.bioguide WHERE T2.party = 'Independent' GROUP BY T1.official_full_name,,"[('Angus S. King, Jr.',), ('Bernard Sanders',), ('Gregorio Kilili Camacho Sablan',)]",yes,0
"SELECT
  SUM(o.quantityordered) AS TotalQuantityOrdered
FROM orders AS o
JOIN products AS p
  ON o.productcode = p.productcode
WHERE
  o.orderdate BETWEEN DATE('1957-01-01') AND DATE('1957-12-31')
  AND p.productname = '1957 Chevy Pickup'
GROUP BY
  STRFTIME('%Y', o.orderdate)
ORDER BY
  STRFTIME('%Y', o.orderdate) ASC;",SELECT COUNT(T2.customerNumber) FROM orderdetails AS T1 INNER JOIN orders AS T2 ON T1.orderNumber = T2.orderNumber WHERE T1.productCode IN ( SELECT productCode FROM products WHERE productName = '1957 Chevy Pickup' ),,"[(28,)]",yes,0
SELECT Venue_Name FROM Venue JOIN City ON Venue.City_Id = City.City_Id WHERE City_Name = 'Bangalore';,SELECT T1.Venue_Name FROM Venue AS T1 INNER JOIN City AS T2 ON T1.City_ID = T2.City_ID WHERE T2.City_Name = 'Bangalore',"[('M Chinnaswamy Stadium',)]","[('M Chinnaswamy Stadium',)]",yes,1
