gen_query,actual_query,gen_output,actual_output,validation,correct_output
select t1.user_id from Elite as t1 join Users as t2 on t1.user_id = t2.user_id where t2.user_yelping_since_year = 2004,SELECT DISTINCT T2.user_id FROM Users AS T1 INNER JOIN Elite AS T2 ON T1.user_id = T2.user_id WHERE T1.user_yelping_since_year = 2004,"[(10361,), (10361,), (10361,), (10361,), (10361,)]","[(10361,), (13449,), (29986,), (42647,), (43262,)]",yes,0
select avg(royalty) from titles where publisher = 'USA' and non-US publisher = 'USA',SELECT (CAST(SUM(CASE WHEN T2.country = 'USA' THEN T1.royalty ELSE 0 END) AS REAL) / SUM(CASE WHEN T2.country = 'USA' THEN 1 ELSE 0 END)) - (CAST(SUM(CASE WHEN T2.country != 'USA' THEN T1.royalty ELSE 0 END) AS REAL) / SUM(CASE WHEN T2.country != 'USA' THEN 1 ELSE 0 END)) FROM titles AS T1 INNER JOIN publishers AS T2 ON T1.pub_id = T2.pub_id INNER JOIN roysched AS T3 ON T1.title_id = T3.title_id,,"[(None,)]",no,0
select name from organization where country = 'Saudi Arabia' and established = '2010-04-19 15:06:20',SELECT T1.Name FROM organization AS T1 INNER JOIN country AS T2 ON T1.Country = T2.Code WHERE T2.Name = 'Saudi Arabia' ORDER BY T1.Established DESC LIMIT 1,[],"[('Gulf Cooperation Council',)]",yes,0
"select count(*) from careplans as t1 join patients as t2 on t1.PATIENT = t2.PATIENT where t2.REASONCODE = ""Acute bronchitis""",SELECT COUNT(T2.PATIENT) FROM patients AS T1 INNER JOIN careplans AS T2 ON T1.patient = T2.PATIENT WHERE T1.prefix = 'Mrs.' AND T1.first = 'Norman' AND T1.last = 'Berge',"[(16,)]","[(16,)]",yes,1
"select count(*) from biwords where w2nd = ""grec""",SELECT COUNT(T2.w1st) FROM words AS T1 INNER JOIN biwords AS T2 ON T1.wid = T2.w2nd WHERE T1.word = 'grec',,"[(1525,)]",no,0
select date from weather where depart > 0 and station_nbr = 2;,SELECT `date` FROM weather WHERE station_nbr = 2 AND depart > 0,"[('2012-01-01',), ('2012-01-02',), ('2012-01-05',), ('2012-01-06',), ('2012-01-07',)]","[('2012-01-01',), ('2012-01-02',), ('2012-01-05',), ('2012-01-06',), ('2012-01-07',)]",yes,1
select max(Length) from borders where country1 (A) and country2 (CH) have independent status,SELECT MAX(T3.Length) FROM country AS T1 INNER JOIN politics AS T2 ON T1.Code = T2.Country INNER JOIN borders AS T3 ON T3.Country1 = T2.Country WHERE T2.Independence IS NOT NULL,"[(8893.0,)]","[(8893.0,)]",yes,1
select t1.countryname from country as t1 join Indicators as t2 on t1.countrycode = t2.countrycode where t2.incomeGroup = 'Low income' order by t2.value limit 1,"SELECT T2.CountryName FROM Country AS T1 INNER JOIN Indicators AS T2 ON T1.CountryCode = T2.CountryCode WHERE T1.IncomeGroup = 'Low income' AND T2.IndicatorName = 'Adolescent fertility rate (births per 1,000 women ages 15-19)' ORDER BY T2.Value LIMIT 1",,"[('Korea, Dem. Rep.',)]",yes,0
select sum(salary) from employee as t1 join inspection as t2 on t1.employee_id = t2.employee_id where t2.inspection_id between 52270 and 52272,SELECT SUM(T2.salary) FROM inspection AS T1 INNER JOIN employee AS T2 ON T1.employee_id = T2.employee_id WHERE T1.inspection_id BETWEEN 52270 AND 52272,"[(236700,)]","[(236700,)]",yes,1
select university_id from university_year where pct_international_students = (select max(pct_international_students) from university_year),SELECT university_id FROM university_year ORDER BY pct_international_students DESC LIMIT 1,"[(1032,)]","[(1032,)]",yes,1
